ROME V2;Intitulé ROME V2;Appellation V2;ROME V3;Intitulé ROME V3;Appellation V3;Article Métier;URL Fiche Métier ONISEP;Wikipedia Match
11111;Employé/Employée de ménage à domicile;Bonne (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Valet de chambre/Camériste;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Valet de chambre/Chambrière;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Domestique (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Employé/Employée (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Employé/Employée de maison;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Employé/Employée de ménage;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de ménage;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Employé/Employée toutes mains (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé familial polyvalent / Employée familiale polyvalente;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Factotum;[http://www2.pole-emploi.fr/rome/pdf/FEM_I1203.pdf I1203];Maintenance des bâtiments et des locaux;Factotum;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Valet/Femme de chambre (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Femme de ménage (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de ménage;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Gouvernant/Gouvernante (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Gouvernant / Gouvernante à domicile;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Gouvernant/Gouvernante d'intérieur;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Gouvernant / Gouvernante d'intérieur;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Homme toutes mains (à domicile);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé familial polyvalent / Employée familiale polyvalente;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Maître d'hôtel de maison particulière;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Maître/Maîtresse de maison (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Gouvernant / Gouvernante à domicile;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Majordome;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Majordome;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Valet;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Valet de chambre/Femme de chambre;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Femme toutes mains (à domicile);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé familial polyvalent / Employée familiale polyvalente;Employé de ménage à domicile;;
11111;Employé/Employée de ménage à domicile;Homme de ménage (chez un particulier);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Employé / Employée de maison;Employé de ménage à domicile;;
11112;Intervenant/Intervenante à domicile;Aide à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Aide à Domicile;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Aide à domicile (personnes âgées);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Aide à Domicile;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Aide aux personnes âgées;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Aide aux personnes âgées;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Aide familial(e);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Aide familial / familiale;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Aide familial(e) rural(e);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Aide familial / familiale;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Aide ménager(ère);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Aide ménager / ménagère à domicile;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Aide ménager(ère à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1304.pdf K1304];Services domestiques;Aide ménager / ménagère à domicile;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Assistant familial/Assistante familiale;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Assistant familial / Assistante familiale;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Auxiliaire de vie;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Auxiliaire de vie;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Auxiliaire familial(e);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Auxiliaire familiale;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Auxiliaire social(e);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Auxiliaire de Vie Sociale -AVS-;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Monsieur/Dame de compagnie;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Monsieur / Dame de compagnie;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Garde à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Garde de personnes âgées;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Garde-malade;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Intervenant/Intervenante garde-malade;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Travailleur familial/Travailleuse familiale;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1305.pdf K1305];Intervention sociale et familiale;Technicien / Technicienne Intervention Sociale et Familiale -TISF-;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Garde de personnes âgées à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Garde de personnes handicapées à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Assistant/Assistante convivialité à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Assistant / Assistante de convivialité à domicile;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Agent accompagnateur des déplacements;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Aide aux personnes âgées;Intervenant à domicile;;
11112;Intervenant/Intervenante à domicile;Garde itinérant(e) auprès de personnes âgées;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1302.pdf K1302];Assistance auprès d'adultes;Garde-malade;Intervenant à domicile;;
11113;Intervenant/Intervenante auprès d'enfants;Agent d'école maternelle;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Agent spécialisé / Agente spécialisée des écoles maternelles -ASEM-;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Agent spécialisé des écoles maternelles;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Agent spécialisé / Agente spécialisée des écoles maternelles -ASEM-;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Agent spécialisé des écoles maternelles et classes enfantines;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Agent spécialisé / Agente spécialisée des écoles maternelles -ASEM-;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Aide de classe enfantine;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Aide maternel / maternelle d'école;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Aide maternel(le);[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Aide maternel / maternelle d'école;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Aide-puériculteur/Aide-puéricultrice;[http://www2.pole-emploi.fr/rome/pdf/FEM_J1304.pdf J1304];Aide en puériculture;Auxiliaire de puériculture;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Assistant maternel;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Assistant maternel / Assistante maternelle;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Assistant maternel/Assistante maternelle à domicile;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Assistant maternel / Assistante maternelle à domicile;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Assistant maternel agréé/Assistante maternelle agréée;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Assistant maternel / Assistante maternelle;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Assistant maternel/Assistante maternelle en famille d'accueil;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Assistant maternel / Assistante maternelle en famille d'accueil;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Auxiliaire de puériculture;[http://www2.pole-emploi.fr/rome/pdf/FEM_J1304.pdf J1304];Aide en puériculture;Auxiliaire de puériculture;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Auxiliaire puériculteur/Auxiliaire puéricultrice;[http://www2.pole-emploi.fr/rome/pdf/FEM_J1304.pdf J1304];Aide en puériculture;Auxiliaire de puériculture;Intervenant auprès d'enfants;;
11113;Intervenant/Intervenante auprès d'enfants;Baby-sitter;[http://www2.pole-emploi.fr/rome/pdf/FEM_K1303.pdf K1303];Assistance auprès d'enfants;Baby-sitter;Intervenant auprès d'enfants;;
